Marketing_Campaign_Indicator,Website_Engagement_Indicator,Engagement Score,Lead Source Category,Lead Source Channel,Referring_Bank_Region,has_website,has_instagram,has_twitter,has_facebook,insta_ratio,twt_presence,twt_ratio,has_sum,LF-Industry_Business To Business,LF-Industry_Construction,LF-Industry_Groceries,LF-Industry_Health Care & Pharmacies,LF-Industry_Lodging,LF-Industry_Non-Profit / Government,LF-Industry_Other,LF-Industry_Personal Services,LF-Industry_Professional Services,LF-Industry_Restaurants & Quick Serve Restaurants,LF-Industry_Retail,LF-Industry_Retail - Apparel,LF-Industry_Transportation,LF-Industry_Unknown,Converted,Lead_Quality_Score
1,0,0.0,8,0,35,0,0,0,1,0.5,0,0.48,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.47
1,0,0.0,8,0,35,1,1,0,1,0.730769,0,0.488888889,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.32
0,0,0.0,5,1,35,0,0,0,0,1.0,2,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1.0
0,0,0.0,2,2,2,1,0,1,1,0.4,1,0.536585366,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.38
0,0,0.0,5,1,35,1,0,0,0,0.434783,0,0.352941176,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.7966666666666667
0,0,0.0,2,2,2,1,1,1,1,0.823529,1,0.6,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.08
0,0,0.0,2,2,26,1,1,1,1,0.580645,1,0.666666667,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,26,0,0,0,1,0.285714,0,0.454545455,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.07
0,0,0.0,2,2,35,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.08012870837714114
0,0,0.0,2,2,25,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0036936090718913354
0,0,0.0,0,2,35,1,1,1,1,0.930233,1,0.606060606,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.12
0,0,0.0,2,2,7,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.10648612498612499
0,0,0.0,2,2,34,0,0,0,0,1.0,2,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.10057288413828211
0,0,0.0,0,2,35,0,0,0,1,0.526316,0,0.424242424,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.48
0,0,0.0,2,2,1,0,1,1,1,0.88,1,0.846153846,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.02
0,0,0.0,0,2,35,1,0,0,1,0.0,0,0.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,26,1,0,0,1,0.528302,0,0.468085106,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,1,0,0,0,0,1.0,2,0.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0.471436507936508
0,0,0.0,7,1,35,1,0,1,0,0.540541,1,0.647058824,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0.73
0,0,0.0,3,2,35,0,0,1,1,0.294118,1,0.628571429,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.77
0,0,0.0,2,2,26,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.001002917241991221
0,0,0.0,0,2,35,0,1,1,0,0.772727,1,0.578947368,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,0.0,0,2,35,0,0,1,0,0.518519,1,0.88,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.05
0,0,0.0,0,2,35,1,1,1,1,0.916667,1,0.6,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,7,1,35,0,0,0,1,0.538462,0,0.0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0.89
0,0,0.0,2,2,26,1,1,0,1,0.703704,0,0.468085106,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,5,1,35,1,0,1,1,0.514286,1,0.75862069,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.68
0,0,0.0,7,1,35,0,1,1,1,0.571429,1,0.611111111,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.43
0,0,0.0,5,1,35,1,0,0,0,1.0,2,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1.0
0,0,0.0,0,2,35,1,1,1,1,0.764706,1,0.814814815,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,0,2,35,1,1,1,1,0.829268,1,0.571428571,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,0.0,2,2,35,1,1,0,1,0.871795,0,0.470588235,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0.1375
0,0,0.0,2,2,25,0,0,0,1,0.342857,0,0.375,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
0,0,0.0,5,1,35,1,0,0,1,0.533333,0,0.444444444,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.7
0,0,0.0,0,2,35,1,1,1,0,0.6875,1,0.615384615,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.03
0,0,0.0,2,2,25,1,1,1,1,0.652174,1,0.588235294,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.23
0,0,0.0,5,1,35,1,1,0,1,0.896552,0,0.0,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0.72
0,0,0.0,1,2,35,1,1,0,1,0.818182,0,0.0,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.98
0,0,0.0,0,2,35,0,0,1,0,0.0,1,0.814814815,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
1,0,0.0,1,2,35,1,0,0,1,0.0,0,0.272727273,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.755
0,0,0.0,2,2,26,1,0,0,1,0.5,0,0.4,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.31566666666666665
0,0,0.0,0,2,35,0,0,0,1,0.52381,0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,1,2,35,1,1,0,1,0.933333,0,0.454545455,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,26,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.001002917241991221
